age,gender,occupation,daily_screen_time_hours,opens_per_day,sleep_hours,bedtime_delay_minutes,productivity_loss_hours,focus_rating,anxiety_level,loneliness_level,self_comparison_score,mood_after_use,reels_usage_percent,addiction_level
22,Female,Student,3.5,52,6.7,59,2.3,5.6,5.3,2.8,4.2,Negative,43,Moderate
18,Female,Working Professional,3.7,44,6.7,18,1.8,3.7,7.1,5.8,3.3,Positive,61,Moderate
27,Male,Working Professional,4.9,68,5.4,39,3.2,5.2,6.1,5.3,6.9,Positive,72,Moderate
17,Female,Student,3.4,47,7.8,54,2.0,7.4,3.6,4.9,2.6,Positive,23,Moderate
21,Other,Student,0.6,6,6.0,7,0.4,10.0,2.6,3.0,2.7,Negative,72,Low
23,Other,Working Professional,2.1,33,5.9,35,1.6,7.2,5.0,4.7,4.3,Neutral,52,Low
26,Male,Student,4.1,65,5.7,65,3.4,4.4,7.7,5.1,4.8,Positive,56,Moderate
18,Female,Student,1.7,17,7.2,8,0.9,7.4,4.9,2.7,3.4,Neutral,70,Low
22,Male,Student,9.2,101,4.3,82,4.1,2.3,10.0,8.6,9.3,Neutral,85,High
25,Male,Student,5.4,70,6.8,86,4.2,6.0,7.7,6.0,7.0,Negative,20,Moderate
24,Other,Student,2.1,27,5.8,25,1.3,9.8,3.9,2.8,2.6,Neutral,78,Low
21,Female,Working Professional,5.0,55,4.8,25,1.7,4.2,5.8,7.1,7.0,Positive,75,Moderate
16,Female,Working Professional,3.7,29,6.2,18,1.6,6.3,3.9,6.1,5.6,Negative,36,Moderate
21,Other,Student,7.0,91,4.5,70,4.4,2.0,8.2,7.7,7.3,Negative,78,High
19,Male,Working Professional,4.5,45,5.8,36,3.1,6.0,5.1,6.2,5.4,Negative,20,Moderate
26,Female,Working Professional,3.1,43,6.1,43,1.4,7.9,5.9,5.8,6.8,Negative,21,Moderate
16,Other,Working Professional,5.0,80,6.6,65,2.5,5.5,7.4,6.3,6.3,Neutral,43,Moderate
19,Other,Working Professional,4.9,49,6.7,63,3.4,7.0,7.6,4.7,6.6,Positive,52,Moderate
19,Male,Working Professional,3.1,34,5.5,37,2.1,7.3,6.5,3.6,4.4,Positive,41,Moderate
29,Other,Student,5.1,51,6.0,51,4.3,3.0,5.8,7.4,7.3,Positive,88,Moderate
27,Female,Working Professional,2.8,28,7.2,14,0.9,7.2,5.1,4.8,3.7,Positive,56,Low
23,Other,Student,5.6,56,4.3,89,4.5,3.6,5.3,6.0,7.4,Negative,37,Moderate
24,Female,Student,6.5,65,5.4,78,2.2,4.1,6.9,5.9,6.6,Negative,21,High
25,Female,Student,6.1,79,6.6,67,2.9,4.4,8.9,7.4,10.0,Negative,64,High
19,Other,Working Professional,6.9,69,6.4,75,2.2,1.5,10.0,6.3,8.9,Neutral,77,High
29,Other,Working Professional,5.7,74,4.6,28,1.8,3.8,9.3,6.6,5.6,Neutral,72,Moderate
27,Other,Working Professional,5.5,60,4.9,55,1.8,6.9,10.0,7.8,7.3,Positive,32,Moderate
17,Other,Working Professional,0.9,7,7.0,10,0.4,8.3,2.7,3.2,3.2,Negative,20,Low
25,Female,Student,4.3,55,6.8,55,3.0,6.1,8.8,4.1,7.2,Negative,45,Moderate
18,Male,Working Professional,4.1,69,7.7,57,2.4,4.6,5.9,3.3,3.9,Positive,29,Moderate
21,Other,Working Professional,3.7,62,6.4,51,3.2,9.5,5.8,5.9,6.4,Neutral,21,Moderate
16,Female,Student,5.1,56,6.7,61,3.6,3.9,7.4,6.6,6.6,Negative,31,Moderate
18,Male,Working Professional,5.4,48,6.8,91,1.9,4.1,7.7,7.2,5.9,Negative,53,Moderate
18,Other,Working Professional,3.4,40,6.0,20,2.3,7.0,6.3,4.1,5.4,Negative,29,Moderate
20,Female,Working Professional,5.8,46,6.3,40,3.2,5.5,6.9,7.2,6.5,Neutral,56,Moderate
27,Male,Student,7.3,116,5.2,51,2.6,2.7,10.0,7.3,9.0,Negative,78,High
18,Male,Student,5.1,56,5.9,35,3.0,6.0,10.0,5.7,6.3,Positive,72,Moderate
25,Male,Student,7.8,124,5.8,109,6.3,2.3,9.9,6.8,8.1,Negative,28,High
17,Male,Student,1.7,25,6.7,28,0.9,7.6,3.4,3.7,4.5,Negative,93,Low
25,Other,Working Professional,3.2,28,4.9,51,2.1,7.7,6.4,5.1,5.1,Negative,22,Moderate
28,Female,Working Professional,3.5,28,5.2,45,2.9,6.7,5.5,4.9,3.9,Positive,39,Moderate
24,Female,Student,8.6,68,5.6,77,6.2,2.8,9.5,8.7,8.6,Neutral,43,High
27,Female,Student,2.7,29,6.1,37,1.4,6.5,3.4,2.8,3.2,Neutral,46,Low
21,Other,Student,7.6,76,4.3,129,6.6,4.1,7.0,8.2,9.4,Neutral,24,High
22,Female,Working Professional,7.0,63,5.2,35,3.7,2.4,10.0,7.9,9.0,Positive,52,High
17,Other,Working Professional,5.1,61,7.5,51,4.3,6.5,8.0,5.4,7.4,Positive,92,Moderate
